State/UT Name,Mine Name,Coal/ Lignite Production,Coal Mine Owner Name,Coal/Lignite,Govt Owned/Private,TypeofMine ,Latitude ,Longitude 
West Bengal,Ningah Colliery ,0.01,ECL,Coal,G,UG,23.6743,87.0333
West Bengal,Jhanjhara Project Colly,3.5,ECL,Coal,G,UG,23.668,87.2963
West Bengal,MAOHUSUDANPUR,0.04,ECL,Coal,G,UG,23.6338,87.2037
West Bengal, PARASCOLE(EAST) ,0.1,ECL,Coal,G,UG,23.6377,87.1951
West Bengal, PARASCOLE(WEST) ,0.07,ECL,Coal,G,UG,23.6405,87.1855
West Bengal,Jambad UG,0.16,ECL,Coal,G,UG,23.6517,87.1734
West Bengal,Khas Kajora,0.17,ECL,Coal,G,UG,23.6205,87.1926
West Bengal,Central Kajora,0.07,ECL,Coal,G,UG,23.6007,87.1874
West Bengal, NABAKJORA ,0.06,ECL,Coal,G,UG,23.6346,87.1793
West Bengal,Satgram Project,0.04,ECL,Coal,G,UG,23.6471,87.1594
West Bengal,EGARA & NARAYANKURI UNDER MAHABIR COLLIERY,0.08,ECL,Coal,G,UG,23.57341,87.10873
West Bengal,Satgram Incline ,0.03,ECL,Coal,G,UG,23.6827,87.0703
West Bengal,CHAPUIKHAS COLLIERY,0.03,ECL,Coal,G,UG,23.6545,87.0449
West Bengal,J K NAGAR,0.13,ECL,Coal,G,UG,23.649,87.067
West Bengal,PURE SEARSOLE,0.05,ECL,Coal,G,UG,23.6457,87.0872
West Bengal, AMRITNAGAR ,0.1,ECL,Coal,G,UG,23.6155,87.086
West Bengal, KUNUSTORIA ,0.11,ECL,Coal,G,UG,23.6499,87.1302
West Bengal, PARASEA ,0.16,ECL,Coal,G,UG,23.6517,87.1629
West Bengal, BELBAID,0.06,ECL,Coal,G,UG,23.6577,87.141
West Bengal, KHANDRA ,0.07,ECL,Coal,G,UG,23.6414,87.2228
West Bengal, SHYAMSUNOERPUR ,0.83,ECL,Coal,G,UG,23.6483,87.2575
West Bengal, KUMARDIH A ,0.09,ECL,Coal,G,UG,23.667,87.2625
West Bengal, TILABONI ,0.15,ECL,Coal,G,UG,23.6549,87.2821
